日本語,英語,フランス語,ドイツ語,イタリア語,スペイン語,韓国語,中国語（簡）,中国語（繁）
こだいのどうか,Relic Copper,Vieux Sou,Alter Heller,Soldantico,Real Cobre,고대의동화,古代铜币,古代銅幣
こだいのぎんか,Relic Silver,Vieil Écu,Alter Taler,Ducatantico,Real Plata,고대의은화,古代银币,古代銀幣
こだいのきんか,Relic Gold,Vieux Ducat,Alter Dukat,Doblonantico,Real Oro,고대의금화,古代金币,古代金幣
こだいのツボ,Relic Vase,Vieux Vase,Alte Vase,Vasantico,Ánfora,고대의항아리,古代之壶,古代之壺
こだいのうでわ,Relic Band,Vieux Bijou,Alter Rief,Bracciantico,Brazal,고대의팔찌,古代手镯,古代手鐲
こだいのせきぞう,Relic Statue,Vieux Santon,Alte Statue,Statuantica,Efi. Antigua,고대의석상,古代石像,
こだいのおうかん,Relic Crown,Vieux Tortil,Alte Krone,Coronantica,Cor. Antigua,고대의왕관,古代王冠,
ポケモンこけし,Pokéshi Doll,Poupée Pokéshi,Pokémon-Kokeshi,Pokékokeshi,Poké Muñeca,포켓몬목각인형,宝可梦木娃娃,寶可夢木娃娃
ちいさなタケノコ,Tiny Bamboo Shoot,Petit Bambou,Minibambusspross,Minibambù,Bambú Pequeño,작은죽순,小竹笋,小竹筍
おおきなタケノコ,Big Bamboo Shoot,Gros Bambou,Riesenbambusspross,Grande bambù,Bambú Grande,큰죽순,大竹笋,大竹筍
はながらメール,Flower Mail,Lettre Fleur,Blumenbrief,Messaggio Fiore,Carta Flor,꽃무늬메일,,
なみのりメール,Surf Mail,Lettre Surf,Surferbrief,Mess. Surf,Carta Surf,파도타기메일,,
みずいろメール,Litebluemail,LetrBleuCiel,Cyanbrief,Mess. Azzurro,Carta Azul,옥빛메일,,
にがおえメール,Portraitmail,LetrPortrait,Portraitbrief,Mess. Ritratto,Cart-Retrato,초상화메일,,
ラブリーメール,Lovely Mail,LetrCharm.,Herzbrief,Mess. Dolce,Carta Amor,러브리메일,,
ブイブイメール,Eon Mail,Lettre Evoli,Anara-Brief,Mess. Eon,Carta Eón,브이브이메일,,
へんしんメール,Morph Mail,Lettre Morph,Morph-Brief,Mess. Morph,Cartmorfosis,변신메일,,
あおぞらメール,Bluesky Mail,LetrCielBleu,Kobaltbrief,Mess. Cielo,Cartaceleste,푸른하늘메일,,
おんぷメール,Music Mail,Lettre Musique,Melodiebrief,Mess. Musica,Carta Música,음표메일,,
まぼろしメール,Mirage Mail,Lettre Mirage,Trugbrief,Mess. Visione,C.Espejismo,환상의메일,,
オレンジメール,Orange Mail,Lettre Oranj,Zigzagbrief,Mess. Agrume,Carta Naranja,,,
ハーバーメール,Harbor Mail,Lettre Port,Hafenbrief,Mess. Porto,Carta Puerto,,,
キラキラメール,Glitter Mail,Lettre Brill,Glitzerbrief,Mess. Luci,Carta Brillo,,,
メカニカルメール,Mech Mail,Lettre Meca,Eilbrief,Mess. Tecno,Carta Imán,,,
ウッディメール,Wood Mail,Lettre Bois,Waldbrief,Mess. Bosco,Carta Madera,,,
クロスメール,Wave Mail,Lettre Vague,Wellenbrief,Mess. Onda,Carta Ola,,,
トレジャーメール,Bead Mail,Lettre Bulle,Perlenbrief,Mess. Perle,Carta Imagen,,,
シャドーメール,Shadow Mail,Lettre Ombre,Dunkelbrief,Mess. Ombra,Carta Sombra,,,
トロピカルメール,Tropic Mail,Lettre Tropi,Tropenbrief,Mess. Tropic,Carta Tropical,,,
ドリームメール,Dream Mail,Lettre Songe,Traumbrief,Mess. Sogno,Carta Sueño,,,
ミラクルメール,Fab Mail,Lettre Cool,Edelbrief,Mess. Fab,Carta Fabulosa,,,
レトロメール,Retro Mail,Lettre Retro,Retrobrief,Mess. Retro,Carta Retro,,,
グラスメール,Grass Mail,Lettre Herbe,Wiesenbrief,Mess. Erba,Carta Hierba,잔디메일,,
フレイムメール,Flame Mail,Lettre Feu,Feuerbrief,Mess. Fiamma,Carta Fuego,플레임메일,,
ブルーメール,Bubble Mail,Lettre Mer,Wasserbrief,Mess. Bolla,Carta Pompas,블루메일,,
ブルームメール,Bloom Mail,Lett. Pétale,Blütenbrief,Mess. Petalo,Carta Flores,블룸메일,,
トンネルメール,Tunnel Mail,Lettre Mine,Minenbrief,Mess. Tunnel,Carta Mina,터널메일,,
スチールメール,Steel Mail,Lettre Acier,Stahlbrief,Mess. Lega,Carta Acero,스틸메일,,
ラブラブメール,Heart Mail,Lettre Coeur,Rosabrief,Mess. Cuore,Car. Corazón,러브러브메일,,
ブリザードメール,Snow Mail,Lettre Neige,Schneebrief,Mess. Neve,Carta Nieve,블리자드메일,,
スペースメール,Space Mail,Lettre Cosmo,Sternbrief,Mess. Spazio,Car. Sideral,스페이스메일,,
エアメール,Air Mail,Lettre Avion,Luftbrief,Mess. Aereo,Carta Aérea,에어메일,,
モザイクメール,Mosaic Mail,Lettremosaik,Mosaikbrief,Mess. Iride,Car. Mosaico,모자이크메일,,
ブリックメール,Brick Mail,Lettre Brik,Ziegelbrief,Mess. Muro,Carta Pared,브릭메일,,
はじめてメール,Greet Mail,Lettre Salut,Grußbrief,Mess. Inizio,C. Inicial,첫메일,,
だいすきメール,Favored Mail,Lettre Fan,Faiblebrief,Mess. TVB,C. Favoritos,애호메일,,
おさそいメール,RSVP Mail,Lettre Invit,Einladebrief,Mess. Invito,C. Invitar,권유메일,,
かんしゃメール,Thanks Mail,Lettre Merci,Dankesbrief,Mess. Grazie,C. Gracias,감사메일,,
しつもんメール,Inquiry Mail,Let. Demande,Fragebrief,Mess. Chiedi,C. Pregunta,질문메일,,
おすすめメール,Like Mail,Lettre Avis,Insiderbrief,Mess. Sugg.,C. Gustos,추천메일,,
おかえしメール,Reply Mail,Let. Réponse,Rückbrief,Mess. Risp.,C. Respuesta,답장메일,,
ブリッジメールS,BridgeMail S,Lettre PontS,Brückbrief H,Mess. Frec.,C. Puente S,브리지메일S,,
ブリッジメールH,BridgeMail D,Lettre PontY,Brückbrief M,Mess. Libec.,C. Puente F,브리지메일M,,
ブリッジメールC,BridgeMail T,Lettre PontF,Brückbrief Z,Mess. Prop.,C. Puente A,브리지메일C,,
ブリッジメールV,BridgeMail V,Lettre PontH,Brückbrief D,Mess. Vill.,C. Puente V,브리지메일V,,
ブリッジメールW,BridgeMail M,Lettre PontI,Brückbrief W,Mess. Merav.,C. Puente P,브리지메일W,,
エフェクトガード,Guard Spec.,Defense Spec,Megablock,Superguardia,Protec. Esp.,이펙트가드,能力防守,
クリティカット,Dire Hit,Muscle +,Angriffplus,Supercolpo,Directo,크리티컬커터,要害攻击,
プラスパワー,X Attack,Attaque +,X-Angriff,Attacco X,Ataque X,플러스파워,力量强化,
ディフェンダー,X Defend,Defense +,X-Abwehr,Difesa X,Defensa X,디펜드업,防御强化,
スピーダー,X Speed,Vitesse +,X-Tempo,Velocità X,Velocidad X,스피드업,速度强化,
ヨクアタール,X Accuracy,Precision +,X-Treffer,Precisione X,Precisión X,잘-맞히기,命中强化,
スペシャルアップ,X Special,Special +,X-Spezial,Special X,Especial X,스페셜업,特攻强化,
スペシャルガード,X Sp. Def,Def. Spé. +,X-SpezialVer,Dif. Sp. X,Def. Esp. X,스페셜가드,特防强化,
ピッピにんぎょう,Poké Doll,Poképoupee,Poképuppe,Pokébambola,Poké Muñeco,삐삐인형,皮皮玩偶,
エネコのシッポ,Fluffy Tail,Queue Skitty,Eneco-Rute,Coda Skitty,Cola Skitty,에나비꼬리,向尾喵的尾巴,
あおいビードロ,Blue Flute,Flute Bleue,Blaue Flöte,Flauto Blu,Flauta Azul,파랑비드로,蓝色玻璃哨,藍色玻璃哨
きいろビードロ,Yellow Flute,Flute Jaune,Gelbe Flöte,Flauto Giallo,Flauta Amarilla,노랑비드로,黄色玻璃哨,黃色玻璃哨
あかいビードロ,Red Flute,Flute Rouge,Rote Flöte,Flauto Rosso,Flauta Roja,빨강비드로,红色玻璃哨,紅色玻璃哨
ポケじゃらし,Poké Toy,Poképlumet,Pokéwedel,Pokégingillo,Pokéseñuelo,포켓풀,宝可尾草,寶可尾草
スキルコール,Ability Urge,Appel CapSpé,Fäh.-Appell,Chiamabilità,Habilitador,스킬콜,,
アイテムドロップ,Item Drop,Jette Objet,Itemabwurf,Lascioggetto,Tiraobjeto,아이템드롭,,
アイテムコール,Item Urge,Appel Objet,Itemappell,Chiamoggetto,Activaobjeto,아이템콜,,
フラットコール,Reset Urge,Réamorçage,Umkehrappell,Ripristino,Quitaestado,플랫콜,,
ビビリだま,Adrenaline Orb,Orbe Frousse,Zitterorb,Fifasfera,Nerviosfera,주눅구슬,胆怯球,膽怯球
おうえんポン,Roto Boost,Moti-Soutien,Statuswertebon,Stat’n’roll,Cupón Refuerzo,응원캡슐토이,加油碰碰,加油碰碰
つかまえポン,Roto Catch,Moti-Capture,Fangbon,Acchiappa’n’roll,Cupón Captura,잡기캡슐토이,捕捉碰碰,捕捉碰碰
ダイキノコ,Max Mushrooms,Maxi Champi,Dyna-Pilz,Fungomax,Maxiseta,다이버섯,极巨菇菇,極巨菇菇
キズぐすり,Potion,Potion,Trank,Pozione,Poción,상처약,伤药,傷藥
どくけし,Antidote,Antidote,Gegengift,Antidoto,Antídoto,해독제,解毒药,解毒藥
やけどなおし,Burn Heal,Anti-Brûle,Feuerheiler,Antiscottatura,Antiquemar,화상치료제,灼伤药,灼傷藥
こおりなおし,Ice Heal,Antigel,Eisheiler,Antigelo,Antihielo,얼음상태치료제,解冻药,解凍藥
ねむけざまし,Awakening,Reveil,Aufwecker,Sveglia,Despertar,잠깨는약,解眠药,解眠藥
まひなおし,Parlyz Heal,Anti-Para,Para-Heiler,Antiparalisi,Antiparalizador*,마비치료제,解麻药,解麻藥
かいふくのくすり,Full Restore,Guerison,Top-Genesung,Ricarica Totale,Restaurar Todo*,회복약,全复药,全復藥
まんたんのくすり,Max Potion,Potion Max,Top-Trank,Pozione Max,Máxima Poción,풀회복약,全满药,全滿藥
すごいキズぐすり,Hyper Potion,Hyper Potion,Hypertrank,Iperpozione,Hiperpoción*,고급상처약,厉害伤药,厲害傷藥
いいキズぐすり,Super Potion,Super Potion,Supertrank,Super Pozione,Superpoción*,좋은상처약,好伤药,好傷藥
なんでもなおし,Full Heal,Total Soin,Hyperheiler,Cura Totale,Cura Total,만병통치약,万灵药,萬靈藥
げんきのかけら,Revive,Rappel,Beleber,Revitalizzante,Revivir,기력의조각,活力碎片,
げんきのかたまり,Max Revive,Rappel Max,Top-Beleber,Revitalizzante Max,Revivir Máximo*,기력의덩어리,活力块,活力塊
おいしいみず,Fresh Water,Eau Fraiche,Tafelwasser,Acqua Fresca,Agua Fresca,맛있는물,美味之水,
サイコソーダ,Soda Pop,Soda Cool,Sprudel,Gazzosa,Refresco,미네랄사이다,劲爽汽水,勁爽汽水
ミックスオレ,Lemonade,Limonade,Limonade,Lemonsucco,Limonada,후르츠밀크,果汁牛奶,
ピーピーエイド,Ether,Huile,Äther,Etere,Éter,PP에이드,PP单项小补剂,PP單項小補劑
ピーピーリカバー,Max Ether,Huile Max,Top-Äther,Etere Max,Éter Máximo,PP회복,PP单项全补剂,PP單項全補劑
ピーピーエイダー,Elixir,Elixir,Elixier,Elisir,Elixir,PP에이더,PP多项小补剂,PP多項小補劑
ピーピーマックス,Max Elixir,Max Elixir,Top-Elixier,Elisir Max,Elixir Máximo,PP맥스,PP多项全补剂,PP多項全補劑
モーモーミルク,Moomoo Milk,Lait Meumeu,Kuhmuh-Milch,Latte Mumu,Leche Mu-Mu,튼튼밀크,哞哞鲜奶,哞哞鮮奶
ちからのこな,Energy Powder,Poudrénergie,Energiestaub,Polvenergia,Polvo Energía*,힘의가루,元气粉,元氣粉
ちからのねっこ,Energy Root,Racinénergie,Kraftwurzel,Radicenergia,Raíz Energía,힘의뿌리,元气根,元氣根
ばんのうごな,Heal Powder,Poudre Soin,Heilpuder,Polvocura,Polvo Curación,만능가루,万能粉,萬能粉
ふっかつそう,Revival Herb,Herbe Rappel,Vitalkraut,Vitalerba,Hierba Revivir,부활 초,复活草,復活草
せいなるはい,Sacred Ash,Cendresacrée,Zauberasche,Magicenere,Ceniza Sagrada,성스러운분말,圣灰,聖灰
いかりまんじゅう,Rage Candy Bar,Bonbon Rage,Wutkeks,Iramella,Caramelo Furia*,분노의호두과자,愤怒馒头,憤怒饅頭
フエンせんべい,Lava Cookie,Lava Cookie,Lavakeks,Lavottino,Galleta Lava,용암전병,釜炎仙贝,釜炎仙貝
きのみジュース,Berry Juice,Jus De Baie,Beerensaft,Succo di Bacca,Zumo de Baya,나무열매쥬스,树果汁,樹果汁
ふしぎなアメ,Rare Candy,Super Bonbon,Sonderbonbon,Caramella Rara,Carameloraro,이상한사탕,神奇糖果,
ポイントアップ,PP Up,PP Plus,AP-Plus,PP-Su,Más PP,포인트 업,PP提升剂,PP提升劑
ポイントマックス,PP Max,PP Max,AP-Top,PP-Max,PP Máximos*,포인트 맥스,PP极限提升剂,PP極限提升劑
もりのヨウカン,Old Gateau,Vieux Gâteau,Spezialität,Dolce Gateau,Barrita Plus,숲의양갱,森之羊羹,
ハートスイーツ,Sweet Heart,Chococœur,Herzkonfekt,Dolcecuore,Corazón Dulce*,하트스위트,心形甜点,心形甜點
ヒウンアイス,Casteliacone,Glace Volute,Stratos-Eis,Conostropoli,Porcehelado,구름아이스,飞云冰淇淋,飛雲冰淇淋
ミアレガレット,Lumiose Galette,Galette Illumis,Illumina-Galette,Pan di Lumi,Crêpe Luminalia,미르갈레트,密阿雷格雷派饼,密阿雷格雷派餅
シャラサブレ,Shalour Sable,Sablé Yantreizh,Yantara-Sablé,Yantafrollino,Galleta Yantra,사라사블레,娑罗沙布蕾,娑羅沙布蕾
おおきいマラサダ,Big Malasada,Malasada Maxi,Maxi-Malasada,Malasada maxi,Malasada Maxi,큰 말라사다,大马拉萨达,大馬拉薩達
HPかいふくポン,Roto HP Restore,Moti-Récup' PV,KP-Bon,PS'n'roll,Cupón PS,HP회복캡슐토이,HP回复碰碰,HP回复碰碰
PPかいふくポン,Roto PP Restore,Moti-Récup' PP,AP-Bon,PP'n'roll,Cupón PP,PP회복캡슐토이,PP回复碰碰,PP回复碰碰
ニビあられ,Pewter Crunchies,Crok'Argenta,Marmoria-Kräcker,Plumbeosalatini,Rokikos,회색강정,深灰米果,深灰米果
ダイミツ,Max Honey,Maxi Miel,Dyna-Honig,Mielemax,Maxipanal,다이꿀,极巨甜蜜,極巨甜蜜
コトブキマフィン,Jubilife Muffin,Rusti-Muffin,Jubelmuffin,Muffin Giubilo,Bizcocho Jubileo,축복머핀,祝庆玛芬,祝慶瑪芬
カンポーやく,Remedy,Remède,Arznei,Preparato,Remedio,한방약,中药,中藥
いいカンポーやく,Fine Remedy,Super Remède,Superarznei,Preparato buono,Superremedio,좋은한방약,好中药,好中藥
すごいカンポーやく,Superb Remedy,Hyper Remède,Hyperarznei,Preparato ottimo,Hiperremedio,고급한방약,厉害中药,厲害中藥
カナリィパン,Canari Bread,Pain Narica,Canary-Brot,Pan di Canary,Leche Mu-Mu,카나리빵,卡娜莉面包,卡娜莉麵包
あらびきヴルスト,Sausages,Saucisses,Würstchen,Salsicce,Salchichas,탱글탱글부어스트,粗绞肉香肠,粗絞肉香腸
ボブのかんづめ,Bob's Food Tin,Conserve de Bob,Pauls Feinkost,Lattina Gustavo,Lata de Darren,밥의통조림,饱伯罐头,飽伯罐頭
バックのかんづめ,Bach's Food Tin,Conserve de Bach,Bachs Feinkost,Scatoletta Bach,Lata de Bach,바크의통조림,巴哈罐头,巴哈罐頭
マメかん,Tin of Beans,Haricots,Dosenbohnen,Lattina fagioli,Lata de Habas,콩통조림,豆子罐头,豆子罐頭
しょくパン,Bread,Pain de Mie,Toastbrot,Pan carré,Pan de Molde,식빵,吐司面包,吐司麵包
パスタ,Pasta,Pâtes,Spaghetti,Pasta,Pasta,파스타,通心粉,通心麵
キノコパック,Mixed Mushrooms,Champignons,Pilzmix,Funghi,Setas,버섯팩,袋装蕈菇,袋裝蕈菇
しっぽのくんせい,Smoke-Poke Tail,Queue Fumée,Röstrute,Coda affumicata,Cola Ahumada,꼬리훈제,烟熏尾巴,煙燻尾巴
ふといながねぎ,Large Leek,Gros Poireau,Dicker Lauch,Grosso porro,Puerro Grueso,굵은대파,粗枝大葱,粗枝大蔥
とくせんリンゴ,Fancy Apple,Pomme Juteuse,Luxusapfel,Mela prelibata,Manzana Selecta,특선사과,特选苹果,特選蘋果
かぼそいホネ,Brittle Bones,Os à Moelle,Feine Knochen,Ossi sottili,Huesos Finos,가느다란뼈,细骨,細骨
ポテトパック,Pack of Potatoes,Pommes de Terre,Kartoffeln,Patate,Patatas,포테이토팩,袋装土豆,袋裝洋芋
みずべのハーブ,Pungent Root,Tubercule,Uferkraut,Erbe acquatiche,Hierba Intensa,물가허브팩,水边香草,水邊香草
やさいパック,Salad Mix,Légumes,Gemüse,Verdure,Verduras,채소팩,袋装蔬菜,袋裝蔬菜
フライもりあわせ,Fried Food,Fritures,Frittiertes,Fritto misto,Frituras,모둠튀김,炸物拼盘,炸物拼盤
ゆでタマゴ,Boiled Egg,Œuf Dur,Gekochtes Ei,Uovo sodo,Huevo Duro,삶은알,水煮蛋,
フサパック,Fruit Bunch,Fruits,Früchte,Frutti,Fruta Tropical,송이팩,袋装果实,袋裝果實
モーモーチーズ,Moomoo Cheese,Fromage Meumeu,Kuhmuh-Käse,Formaggio Mumu,Queso Mu-mu,튼튼치즈,哞哞乳酪,
スパイスセット,Spice Mix,Épices,Gewürzmix,Spezie assortite,Especias,스파이스세트,香料组合,香料組合
しんせんクリーム,Fresh Cream,Crème Fraîche,Frische Sahne,Panna da cucina,Nata Fresca,신선한크림,鲜鲜奶油,鮮鮮奶油
レトルトカレー,Packaged Curry,Curry Instantané,Fertigcurry,Curry precotto,Curri de Bote,레토르트카레,即食咖喱,
ヤシのミルク,Coconut Milk,Lait de Coco,Kokosmilch,Latte di cocco,Leche de Coco,야자밀크,椰奶,
レトルトめん,Instant Noodles,Nouilles,Fertignudeln,Noodle precotti,Fideos de Bote,레토르트면,即食面,即食麵
レトルトバーグ,Precooked Burger,Steak Haché,Frikadellen,Hamburger,Hamburguesas,레토르트햄버그,即食肉排,
キョダイパウダー,Gigantamix,Poudre Gigamax,Giga-Pulver,Gigaspezia,Especias Gigamax,거대파우더,超极粉,超極粉
マヨネーズ,Mayonnaise,Mayonnaise,Mayonnaise,Maionese,Mayonesa,마요네즈,蛋黄酱,美乃滋
ケチャップ,Ketchup,Ketchup,Ketchup,Ketchup,Kétchup,케첩,番茄酱,番茄醬
マスタード,Mustard,Moutarde,Senf,Senape,Mostaza,머스터드,黄芥末酱,黃芥末醬
バター,Butter,Beurre,Butter,Burro,Mantequilla,버터,黄油,奶油
ピーナッツバター,Peanut Butter,Beurre de Cacahuètes,Erdnussbutter,Burro di arachidi,Crema de cacahuete,땅콩버터,花生酱,花生醬
チリソース,Chili Sauce,Sauce Piquante,Chilisoße,Salsa piccante,Salsa picante,칠리소스,辣酱,辣醬
ソルト,Salt,Sel,Salz,Sale,Sal,소금,盐,鹽
ペッパー,Pepper,Poivre,Pfeffer,Pepe,Pimienta,후추,胡椒,胡椒
ヨーグルト,Yogurt,Yaourt,Joghurt,Yogurt,Yogur,요구르트,酸奶,優格
ホイップクリーム,Whipped Cream,Crème Fouettée,Schlagsahne,Panna montata,Nata montada,휘핑크림,鲜奶油,鮮奶油
クリームチーズ,Cream Cheese,Fromage Frais,Frischkäse,Formaggio cremoso,Queso crema,크림치즈,奶油芝士,奶油起司
ベリージャム,Jam,Confiture de Baies,Beerenkonfitüre,Confettura di bosco,Confitura de bayas,베리잼,莓果酱,莓果醬
マーマレード,Marmalade,Marmelade,Marmelade,Marmellata,Mermelada,마멀레이드,橘子酱,橘子醬
オリーブオイル,Olive Oil,Huile d'Olive,Olivenöl,Olio d'oliva,Aceite de Oliva,올리브오일,橄榄油,橄欖油
ビネガー,Vinegar,Vinaigre,Essig,Aceto,Vinagre,비니거,醋,醋
ひでん:あまスパイス,Sweet Herba Mystica,Épice Secrète Sucrée,Süßes Geheimgewürz,Spezia nascosta dolce,Especia oculta dulce,비전 달콤스파이스,秘传:甜味料,秘傳:甜味料
ひでん:しおスパイス,Salty Herba Mystica,Épice Secrète Salée,Salziges Geheimgewürz,Spezia nascosta salata,Especia oculta salada,비전 짭짤스파이스,秘传:咸味料,秘傳:鹹味料
ひでん:すぱスパイス,Sour Herba Mystica,Épice Secrète Acide,Saures Geheimgewürz,Spezia nascosta aspra,Especia oculta ácida,비전 새콤스파이스,秘传:酸味料,秘傳:酸味料
ひでん:にがスパイス,Bitter Herba Mystica,Épice Secrète Amère,Bitteres Geheimgewürz,Spezia nascosta amara,Especia oculta amarga,비전 쌉쌀스파이스,秘传:苦味料,秘傳:苦味料
ひでん:からスパイス,Spicy Herba Mystica,Épice Secrète Corsée,Scharfes Geheimgewürz,Spezia nascosta pepata,Especia oculta picante,비전 매콤스파이스,秘传:辣味料,秘傳:辣味料
ホースラディッシュ,Horseradish,Raifort,Meerrettich,Rafano,Rábano picante,호스래디시,辣根,辣根
カレーパウダー,Curry Powder,Curry en Poudre,Currypulver,Curry in polvere,Curri en polvo,카레파우더,咖喱粉,咖哩粉
ワサビソース,Wasabi,Sauce au Wasabi,Wasabi,Wasabi,Wasabi,와사비소스,芥末酱,芥末醬
レタス,Lettuce,Laitue,Salat,Lattuga,Lechuga,양상추,生菜,生菜
トマトスライス,Tomato,Tomate,Tomate,Pomodoro,Tomate,토마토슬라이스,番茄片,番茄片
カットミニトマト,Cherry Tomatoes,Tomate Cerise,Mini-Tomate,Pomodorini,Tomate cherri,방울토마토슬라이스,小番茄块,小番茄塊
キュウリスライス,Cucumber,Concombre,Gurke,Cetriolo,Pepino,오이슬라이스,小黄瓜片,小黃瓜片
ピクルススライス,Pickle,Cornichon,Gewürzgurke,Sottaceto,Pepinillo,피클슬라이스,酸黄瓜片,酸黃瓜片
たまねぎスライス,Onion,Oignon,Zwiebel,Cipolla,Cebolla,양파슬라이스,洋葱片,洋蔥片
アーリーレッド,Red Onion,Oignon Rouge,Rote Zwiebel,Cipolla rossa,Cebolla roja,적양파,红洋葱,紅洋蔥
ピーマンスライス,Green Bell Pepper,Poivron Vert,Grüne Paprika,Peperone verde,Pimiento verde,피망슬라이스,青椒片,青椒片
あかパプリカスライス,Red Bell Pepper,Poivron Rouge,Rote Paprika,Peperone rosso,Pimiento rojo,빨간파프리카슬라이스,红椒片,紅椒片
きパプリカスライス,Yellow Bell Pepper,Poivron Jaune,Gelbe Paprika,Peperone giallo,Pimiento amarillo,노란파프리카슬라이스,黄椒片,黃椒片
アボカド,Avocado,Avocat,Avocado,Avocado,Aguacate,아보카도,牛油果,酪梨
やきベーコン,Bacon,Bacon,Gebratener Speck,Pancetta rosolata,Panceta,구운베이컨,煎培根,煎培根
ハムスライス,Ham,Jambon Blanc,Kochschinken,Prosciutto cotto,Jamón cocido,슬라이스햄,火腿片,火腿片
なまハム,Prosciutto,Jambon Cru,Roher Schinken,Prosciutto crudo,Jamón serrano,생햄,生火腿,生火腿
やきチョリソー,Chorizo,Chorizo Grillé,Chorizo,Chorizo rosolato,Chorizo,구운초리조,煎辣香肠,煎辣香腸
ハーブソーセージ,Herbed Sausage,Saucisse aux Herbes,Kräuterwurst,Salsiccia alle erbe,Butifarra,허브소시지,香草香肠,香草香腸
ハンバーグ,Hamburger,Steak Haché,Frikadelle,Hamburger grigliato,Hamburguesa,햄버그,汉堡排,漢堡排
ガケガニスティック,Klawf Stick,Bâtonnet de Craparoi,Klibbe-Stick,Surimi di Klawf,Surimi de Klawf,절벼게맛살,毛崖蟹棒,毛崖蟹棒
スモークきりみ,Smoked Fillet,Filet Fumé,Räucherfilet,Filetto affumicato,Filete ahumado,훈제토막,烟熏鱼片,煙燻魚片
きりみフライ,Fried Fillet,Filet Frit,Frittierfilet,Filetto impanato,Filete frito,튀긴토막,炸鱼片,炸魚片
スライスエッグ,Egg,Œuf,Ei,Uovo bollito,Huevo cocido,에그슬라이스,水煮蛋片,水煮蛋片
トルティージャ,Potato Tortilla,Tortilla,Tortilla,Tortilla,Tortilla,토르티야,烘蛋,烘蛋
トーフ,Tofu,Tofu,Tofu,Tofu,Tofu,두부,豆腐,豆腐
ライス,Rice,Riz,Reis,Riso,Arroz,라이스,米饭,米飯
ヌードル,Noodles,Nouilles,Nudeln,Noodle,Fideos,누들,面条,麵條
ポテトサラダ,Potato Salad,Salade de Patates,Kartoffelsalat,Insalata di patate,Ensaladilla,감자샐러드,土豆沙拉,馬鈴薯沙拉
スライスチーズ,Cheese,Fromage,Scheibenkäse,Formaggio,Queso,슬라이스치즈,芝士片,起司片
バナナスライス,Banana,Banane,Banane,Banana,Plátano,바나나슬라이스,香蕉片,香蕉片
いちごスライス,Strawberry,Fraise,Erdbeere,Fragola,Fresa,딸기슬라이스,草莓片,草莓片
わぎりリンゴ,Apple,Pomme,Apfel,Mela,Manzana,사과슬라이스,苹果片,蘋果片
わぎりキウイ,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,키위슬라이스,奇异果片,奇異果片
カットパイン,Pineapple,Ananas,Ananas,Ananas,Piña,파인애플슬라이스,凤梨片,鳳梨片
ハラペーニョ,Jalapeño,Piment,Jalapeño,Jalapeño,Jalapeño,할라페뇨,小辣椒,小辣椒
クレソン,Watercress,Cresson,Kresse,Crescione,Berros,물냉이,豆瓣菜,豆瓣菜
バジル,Basil,Basilic,Basilikum,Basilico,Albahaca,바질,罗勒,羅勒
ゴールドピック,Gold Pick,Pique Dorée,Gold-Pikser,Stecchino oro,Palillo Dorado,골드 픽,金色三明治签,金色三明治籤
シルバーピック,Silver Pick,Pique Argentée,Silber-Pikser,Stecchino argento,Palillo Plateado,실버 픽,银色三明治签,銀色三明治籤
あかいはたピック,Red-Flag Pick,Pique à Fanion Rouge,Rotfahnen-Pikser,Bandierina rossa,Palillo Bandera Roja,빨강 깃발 픽,红旗子三明治签,紅旗子三明治籤
あおいはたピック,Blue-Flag Pick,Pique à Fanion Bleu,Blaufahnen-Pikser,Bandierina blu,Palillo Bandera Azul,파랑 깃발 픽,蓝旗子三明治签,藍旗子三明治籤
ピカピカピック,Pika-Pika Pick,Pique Pikapika,Pikapika-Pikser,Stecchino Pikachu,Palillo Pikachu,피카피카 픽,皮卡丘三明治签,皮卡丘三明治籤
パチピカピック,Winking Pika Pick,Pique à Chu Fripon,Zwinker-Pika-Pikser,Stecchino pikapika,Palillo Pikaguiño,윙크피카 픽,眨眼皮卡丘三明治签,眨眼皮卡丘三明治籤
ブイブイピック,Vee-Vee Pick,Pique Volivoli,Volivoli-Pikser,Stecchino Eevee,Palillo Eevee,브이브이 픽,伊布三明治签,伊布三明治籤
ニコブイピック,Smiling Vee Pick,Pique Évo Rit,Kicher-Voli-Pikser,Stecchino veevee,Palillo Eevee Feliz,방긋브이 픽,笑脸伊布三明治签,笑臉伊布三明治籤
あおボールピック,Blue Poké Ball Pick,Pique à Ball Bleue,Blauball-Pikser,Stecchino Ball blu,Palillo Ball Azul,파랑 볼 픽,蓝珠珠三明治签,藍珠珠三明治籤
みどりボールピック,Green Poké Ball Pick,Pique à Ball Verte,Grünball-Pikser,Stecchino Ball verde,Palillo Ball Verde,초록 볼 픽,绿珠珠三明治签,綠珠珠三明治籤
あかボールピック,Red Poké Ball Pick,Pique à Ball Rouge,Rotball-Pikser,Stecchino Ball rosso,Palillo Ball Roja,빨강 볼 픽,红珠珠三明治签,紅珠珠三明治籤
おいわいはなびピック,Party Sparkler Pick,Pique Feu d'Artifice,Wunderkerzen-Pikser,Stecchino scintille,Palillo Bengala,축하 폭죽 픽,烟花祝庆三明治签,煙火祝慶三明治籤
